epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,26.6784,1.04265,1.28953,0.90755,0.62365,0.64784,0.71815,0.51037,1.1713,1.20679,0.92441,0.000541746,0.000541746,0.000541746
63,27.035,1.14113,1.2679,0.91741,0.6844,0.67627,0.79525,0.56221,1.18245,1.14738,0.91384,0.000538922,0.000538922,0.000538922
64,27.4365,1.05181,1.34681,0.89828,0.6598,0.80531,0.83444,0.58675,1.16454,1.07174,0.90668,0.000536098,0.000536098,0.000536098
65,27.8337,1.04715,1.21172,0.92445,0.6598,0.80531,0.83444,0.58675,1.16454,1.07174,0.90668,0.000533274,0.000533274,0.000533274
66,28.2779,1.01527,1.23517,0.92265,0.67868,0.7876,0.84269,0.62263,1.14996,1.00463,0.91064,0.00053045,0.00053045,0.00053045
67,28.8275,1.09409,1.20007,0.89592,0.66552,0.75643,0.84042,0.59916,1.17643,1.01965,0.93196,0.000527626,0.000527626,0.000527626
68,29.1703,1.07271,1.2442,0.90124,0.72447,0.72346,0.86096,0.60714,1.18269,1.03418,0.94452,0.000524803,0.000524803,0.000524803
69,29.5146,0.98834,1.13807,0.90456,0.72447,0.72346,0.86096,0.60714,1.18269,1.03418,0.94452,0.000521979,0.000521979,0.000521979
70,29.8717,1.10907,1.16332,0.90743,0.81104,0.68122,0.86604,0.61824,1.14924,1.00767,0.9316,0.000519155,0.000519155,0.000519155
71,30.2292,1.19668,1.46317,0.98127,0.76139,0.70634,0.84023,0.611,1.14068,1.00042,0.91245,0.000516331,0.000516331,0.000516331
72,30.5871,1.00902,1.13925,0.93533,0.75378,0.69181,0.81571,0.59452,1.14334,1.01751,0.90748,0.000513507,0.000513507,0.000513507
73,30.9233,1.1359,1.38983,0.91663,0.75378,0.69181,0.81571,0.59452,1.14334,1.01751,0.90748,0.000510683,0.000510683,0.000510683
74,31.3541,1.02526,1.16514,0.87733,0.76487,0.69694,0.81239,0.60943,1.12945,1.01277,0.90745,0.00050786,0.00050786,0.00050786
75,31.6824,1.10326,1.20034,0.92194,0.73952,0.68777,0.81603,0.61231,1.12186,1.02128,0.9114,0.000505036,0.000505036,0.000505036
76,32.0825,1.11881,1.40982,0.95833,0.79235,0.66041,0.80995,0.6178,1.12587,1.0224,0.91547,0.000502212,0.000502212,0.000502212
77,32.4123,1.04365,1.1209,0.87206,0.79235,0.66041,0.80995,0.6178,1.12587,1.0224,0.91547,0.000499388,0.000499388,0.000499388
78,32.7642,1.03248,1.10841,0.88818,0.82521,0.71121,0.83708,0.62327,1.12466,0.97884,0.91057,0.000496564,0.000496564,0.000496564
79,33.2542,1.0564,1.15446,0.90436,0.85036,0.71757,0.83803,0.59764,1.13391,0.93704,0.9105,0.00049374,0.00049374,0.00049374
80,33.6414,1.08524,1.07567,0.89363,0.66549,0.80407,0.82927,0.5946,1.14322,0.95509,0.91001,0.000490917,0.000490917,0.000490917
81,33.9799,0.97046,1.18157,0.88279,0.66549,0.80407,0.82927,0.5946,1.14322,0.95509,0.91001,0.000488093,0.000488093,0.000488093
82,34.3486,1.10733,1.16928,0.89928,0.78608,0.79978,0.827,0.60651,1.12796,0.9483,0.90602,0.000485269,0.000485269,0.000485269
83,34.6888,1.02271,1.09186,0.87376,0.81043,0.73041,0.82291,0.61122,1.11576,0.91314,0.9029,0.000482445,0.000482445,0.000482445
84,35.0409,1.01549,1.1,0.89927,0.75099,0.74725,0.84099,0.62018,1.1457,0.89957,0.9143,0.000479621,0.000479621,0.000479621
85,35.3749,0.99985,1.10828,0.86244,0.75099,0.74725,0.84099,0.62018,1.1457,0.89957,0.9143,0.000476797,0.000476797,0.000476797
86,35.8441,1.05214,1.11275,0.93299,0.73627,0.80043,0.85106,0.61444,1.16767,0.88742,0.92049,0.000473973,0.000473973,0.000473973
87,36.2079,1.03323,1.21195,0.93956,0.76606,0.77773,0.84696,0.60391,1.2014,0.91748,0.92677,0.00047115,0.00047115,0.00047115
88,36.577,1.01032,1.03797,0.90102,0.77725,0.78274,0.84855,0.60304,1.18432,0.93045,0.92322,0.000468326,0.000468326,0.000468326
89,36.909,0.91271,1.0365,0.87173,0.77725,0.78274,0.84855,0.60304,1.18432,0.93045,0.92322,0.000465502,0.000465502,0.000465502
90,37.2929,0.95906,0.96571,0.90719,0.9124,0.73366,0.86189,0.60762,1.2153,0.88837,0.92731,0.000462678,0.000462678,0.000462678
91,37.6856,0.96114,1.00065,0.8806,0.97464,0.73204,0.87184,0.59135,1.29449,0.87211,0.94461,0.000459854,0.000459854,0.000459854
92,38.0916,0.97666,1.07976,0.88116,0.93678,0.77207,0.86963,0.60456,1.25526,0.83513,0.93093,0.00045703,0.00045703,0.00045703
93,38.4117,1.00943,1.0472,0.87728,0.93678,0.77207,0.86963,0.60456,1.25526,0.83513,0.93093,0.000454207,0.000454207,0.000454207
94,38.7884,1.01101,1.16329,0.90792,0.75676,0.84039,0.8674,0.62845,1.19743,0.83563,0.91897,0.000451383,0.000451383,0.000451383
95,39.2098,0.98674,0.98275,0.87383,0.82041,0.74399,0.86252,0.61977,1.16403,0.87143,0.91425,0.000448559,0.000448559,0.000448559
