epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,21.4537,0.75743,2.34347,0.90771,0.74335,0.6761,0.80896,0.58615,0.90158,2.08611,0.91363,0.000533049,0.000533049,0.000533049
66,21.78,0.80525,2.50757,0.9512,0.74494,0.69139,0.80784,0.59867,0.88237,2.10178,0.9105,0.000530222,0.000530222,0.000530222
67,22.1072,0.8396,2.5121,0.92968,0.74098,0.71126,0.82516,0.62563,0.85733,2.10935,0.90834,0.000527395,0.000527395,0.000527395
68,22.4353,0.75234,2.60839,0.94247,0.79189,0.71278,0.83635,0.62797,0.84893,2.07946,0.90583,0.000524567,0.000524567,0.000524567
69,22.7519,0.74401,2.21239,0.90878,0.79189,0.71278,0.83635,0.62797,0.84893,2.07946,0.90583,0.00052174,0.00052174,0.00052174
70,23.077,0.83046,2.50015,0.93843,0.80832,0.6906,0.83214,0.61006,0.84832,2.01962,0.90334,0.000518913,0.000518913,0.000518913
71,23.3677,0.80266,2.43424,0.9,0.79185,0.71365,0.83715,0.62221,0.85748,1.90032,0.90366,0.000516085,0.000516085,0.000516085
72,23.6563,0.8213,2.50183,0.90249,0.84143,0.65787,0.84767,0.6245,0.85571,1.84629,0.90171,0.000513258,0.000513258,0.000513258
73,23.9354,0.7725,2.45802,0.94064,0.84143,0.65787,0.84767,0.6245,0.85571,1.84629,0.90171,0.00051043,0.00051043,0.00051043
74,24.2266,0.77664,2.54197,0.90863,0.75906,0.87962,0.87057,0.65472,0.84468,1.87889,0.90036,0.000507603,0.000507603,0.000507603
75,24.5611,0.7388,2.49383,0.91139,0.71896,0.77284,0.85861,0.64509,0.84208,1.89418,0.8994,0.000504776,0.000504776,0.000504776
76,24.8534,0.76521,2.35568,0.90046,0.782,0.72871,0.85306,0.63753,0.85405,1.941,0.90221,0.000501948,0.000501948,0.000501948
77,25.1321,0.85598,2.40877,0.9365,0.782,0.72871,0.85306,0.63753,0.85405,1.941,0.90221,0.000499121,0.000499121,0.000499121
78,25.4244,0.77216,2.27917,0.91367,0.77865,0.71152,0.84186,0.62001,0.87051,1.97613,0.90993,0.000496294,0.000496294,0.000496294
79,25.718,0.81547,2.24645,0.95811,0.77453,0.68407,0.82213,0.59912,0.8829,1.9431,0.91578,0.000493466,0.000493466,0.000493466
80,26.0122,0.8891,2.83643,0.96389,0.74749,0.69138,0.81526,0.61372,0.87411,1.942,0.91293,0.000490639,0.000490639,0.000490639
81,26.2933,0.74787,2.30629,0.91587,0.74749,0.69138,0.81526,0.61372,0.87411,1.942,0.91293,0.000487812,0.000487812,0.000487812
82,26.5894,0.7181,2.17701,0.87968,0.75844,0.69833,0.81033,0.61748,0.85087,1.94396,0.90615,0.000484984,0.000484984,0.000484984
83,26.8724,0.86503,2.49516,0.93053,0.76351,0.7207,0.81512,0.60765,0.83981,1.91821,0.9014,0.000482157,0.000482157,0.000482157
84,27.1621,0.86479,2.44603,0.95908,0.71402,0.74379,0.8237,0.62212,0.8511,1.91687,0.90095,0.00047933,0.00047933,0.00047933
85,27.4355,0.90233,2.61676,0.95686,0.71402,0.74379,0.8237,0.62212,0.8511,1.91687,0.90095,0.000476502,0.000476502,0.000476502
86,27.8545,0.80474,2.44784,0.90156,0.78288,0.67084,0.82239,0.6225,0.85501,1.91486,0.89695,0.000473675,0.000473675,0.000473675
87,28.1464,0.83825,2.41389,0.94225,0.77639,0.66549,0.82346,0.61969,0.86433,1.87466,0.89684,0.000470848,0.000470848,0.000470848
88,28.437,0.80199,2.26913,0.89497,0.77561,0.66639,0.81839,0.61779,0.87172,1.85574,0.90165,0.00046802,0.00046802,0.00046802
89,28.7203,0.80731,2.29005,0.9047,0.77561,0.66639,0.81839,0.61779,0.87172,1.85574,0.90165,0.000465193,0.000465193,0.000465193
90,29.0111,0.83481,2.1631,0.98631,0.73709,0.74561,0.8262,0.61938,0.87551,1.8523,0.90527,0.000462365,0.000462365,0.000462365
91,29.2973,0.76688,2.3412,0.93576,0.74024,0.77402,0.8469,0.63633,0.87424,1.78252,0.90499,0.000459538,0.000459538,0.000459538
92,29.5892,0.79107,2.11532,0.89336,0.74274,0.80122,0.85499,0.6386,0.86218,1.72774,0.90329,0.000456711,0.000456711,0.000456711
93,29.8612,0.80945,2.10641,0.91613,0.74274,0.80122,0.85499,0.6386,0.86218,1.72774,0.90329,0.000453883,0.000453883,0.000453883
94,30.149,0.76509,2.01168,0.89474,0.92696,0.6975,0.84342,0.62386,0.85446,1.7238,0.89873,0.000451056,0.000451056,0.000451056
95,30.4369,0.75035,2.06356,0.87652,0.68454,0.81986,0.83523,0.61803,0.85314,1.76045,0.89824,0.000448229,0.000448229,0.000448229
96,30.7193,0.81238,2.06184,0.90709,0.87311,0.77398,0.86263,0.64092,0.86264,1.75966,0.90325,0.000445401,0.000445401,0.000445401
97,31.0013,0.76122,2.0713,0.87822,0.87311,0.77398,0.86263,0.64092,0.86264,1.75966,0.90325,0.000442574,0.000442574,0.000442574
98,31.287,0.76983,2.22307,0.92468,0.90943,0.75843,0.85851,0.64682,0.871,1.76775,0.90768,0.000439747,0.000439747,0.000439747
99,31.5732,0.86215,2.30277,0.90084,0.8927,0.7399,0.84962,0.6369,0.86929,1.76476,0.90903,0.000436919,0.000436919,0.000436919
100,31.8649,0.89615,2.39613,0.95669,0.91069,0.6938,0.84241,0.63021,0.85661,1.74075,0.90989,0.000434092,0.000434092,0.000434092
101,32.1438,0.87472,2.22001,0.93516,0.91069,0.6938,0.84241,0.63021,0.85661,1.74075,0.90989,0.000431265,0.000431265,0.000431265
102,32.4269,0.75124,2.04655,0.89791,0.92523,0.66897,0.8388,0.64406,0.83908,1.74011,0.90449,0.000428437,0.000428437,0.000428437
103,32.7133,0.78165,2.27212,0.89247,0.89841,0.6776,0.83236,0.62902,0.8334,1.75739,0.90278,0.00042561,0.00042561,0.00042561
