epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,51.6425,0.82539,0.84411,0.88606,0.72816,0.90465,0.87598,0.64402,1.01134,0.7809,0.94903,0.000346433,0.000346433,0.000346433
132,51.9939,0.85129,0.86783,0.91597,0.86016,0.77872,0.8821,0.63233,1.03556,0.77567,0.95018,0.000343605,0.000343605,0.000343605
133,52.3366,0.85322,0.85126,0.89911,0.86016,0.77872,0.8821,0.63233,1.03556,0.77567,0.95018,0.000340778,0.000340778,0.000340778
134,52.6939,0.82159,0.77762,0.90609,0.88836,0.7428,0.87952,0.61269,1.11134,0.78369,0.96828,0.00033795,0.00033795,0.00033795
135,53.0534,0.91391,0.90747,0.92517,0.83637,0.7926,0.87823,0.60254,1.13494,0.78381,0.97588,0.000335123,0.000335123,0.000335123
136,53.4263,0.92603,0.91953,0.94251,0.87768,0.76968,0.87629,0.60247,1.07122,0.76623,0.96132,0.000332296,0.000332296,0.000332296
137,53.7615,0.89905,0.80776,0.89691,0.87768,0.76968,0.87629,0.60247,1.07122,0.76623,0.96132,0.000329468,0.000329468,0.000329468
138,54.1219,0.8547,0.83532,0.88513,0.90029,0.77637,0.87372,0.63643,1.00212,0.7254,0.95086,0.000326641,0.000326641,0.000326641
139,54.4666,0.93931,0.85847,0.97184,0.92116,0.76899,0.88572,0.65204,0.99675,0.71852,0.95573,0.000323813,0.000323813,0.000323813
140,54.8296,0.94257,0.88155,0.90581,0.93044,0.78118,0.90599,0.65953,0.99371,0.71689,0.95194,0.000320986,0.000320986,0.000320986
141,55.1847,0.86133,0.78349,0.89866,0.93044,0.78118,0.90599,0.65953,0.99371,0.71689,0.95194,0.000318158,0.000318158,0.000318158
142,55.5319,0.84214,0.85993,0.93773,0.74069,0.89858,0.90929,0.67165,1.00608,0.70649,0.94669,0.000315331,0.000315331,0.000315331
143,55.9058,0.79243,0.98585,0.93197,0.94798,0.77132,0.90599,0.64088,1.08087,0.72636,0.95894,0.000312504,0.000312504,0.000312504
144,56.277,0.83578,0.89385,0.90696,0.73521,0.92046,0.90187,0.61197,1.14724,0.74228,0.9736,0.000309676,0.000309676,0.000309676
145,56.6188,0.90196,0.86464,0.90322,0.73521,0.92046,0.90187,0.61197,1.14724,0.74228,0.9736,0.000306849,0.000306849,0.000306849
146,56.9833,0.83965,0.83884,0.91321,0.75499,0.90373,0.90187,0.61209,1.14268,0.75544,0.96989,0.000304021,0.000304021,0.000304021
147,57.3222,0.8852,0.87921,0.91997,0.79694,0.90524,0.90308,0.63471,1.09749,0.76529,0.95253,0.000301194,0.000301194,0.000301194
148,57.6933,0.84749,0.94121,0.95143,0.8732,0.9044,0.94741,0.67618,1.05887,0.74898,0.94681,0.000298366,0.000298366,0.000298366
149,58.1021,0.87979,0.90892,0.93106,0.8732,0.9044,0.94741,0.67618,1.05887,0.74898,0.94681,0.000295539,0.000295539,0.000295539
150,58.5352,0.92702,0.85767,0.94912,0.86104,0.90432,0.94961,0.69014,1.06464,0.74235,0.94993,0.000292711,0.000292711,0.000292711
151,59.0293,0.84995,0.84863,0.88602,0.83004,0.91408,0.95186,0.69056,1.06724,0.7335,0.95308,0.000289884,0.000289884,0.000289884
152,59.4469,0.79815,0.84041,0.89635,0.76158,0.91942,0.95362,0.67373,1.07991,0.72433,0.95241,0.000287057,0.000287057,0.000287057
153,59.7873,0.76977,0.79823,0.90523,0.76158,0.91942,0.95362,0.67373,1.07991,0.72433,0.95241,0.000284229,0.000284229,0.000284229
154,60.1507,0.78113,0.7543,0.89632,0.94911,0.76513,0.95069,0.66324,1.11933,0.71401,0.96522,0.000281402,0.000281402,0.000281402
155,60.5526,0.8895,0.86777,0.90142,0.94469,0.76445,0.94936,0.64176,1.14072,0.72415,0.97683,0.000278574,0.000278574,0.000278574
156,60.9388,0.91384,0.92699,0.9663,0.92893,0.77372,0.95292,0.65517,1.11831,0.71898,0.97415,0.000275747,0.000275747,0.000275747
157,61.3206,0.88988,0.80068,0.8854,0.92893,0.77372,0.95292,0.65517,1.11831,0.71898,0.97415,0.000272919,0.000272919,0.000272919
158,61.7161,0.97626,0.95279,0.96417,0.71025,0.93846,0.95464,0.6797,1.06314,0.70375,0.9578,0.000270092,0.000270092,0.000270092
159,62.0971,0.92009,0.84954,0.90097,0.80938,0.92679,0.95659,0.69326,1.03231,0.69568,0.95509,0.000267264,0.000267264,0.000267264
160,62.5571,0.90939,0.84495,0.89578,0.84492,0.89081,0.95002,0.69168,1.03034,0.70543,0.96106,0.000264437,0.000264437,0.000264437
161,62.9093,0.83148,0.81521,0.88185,0.84492,0.89081,0.95002,0.69168,1.03034,0.70543,0.96106,0.00026161,0.00026161,0.00026161
162,63.2837,0.87866,0.80405,0.91205,0.86387,0.87717,0.94802,0.69073,1.03908,0.73691,0.96287,0.000258782,0.000258782,0.000258782
163,63.64,0.78798,0.81548,0.8768,0.8661,0.87665,0.95076,0.68841,1.04185,0.75533,0.9604,0.000255955,0.000255955,0.000255955
164,64.0018,0.82623,0.85664,0.88591,0.85144,0.88286,0.95149,0.66745,1.05817,0.75263,0.95947,0.000253127,0.000253127,0.000253127
165,64.3315,0.84568,0.85709,0.91912,0.85144,0.88286,0.95149,0.66745,1.05817,0.75263,0.95947,0.0002503,0.0002503,0.0002503
166,64.6987,0.84939,0.82037,0.90215,0.79497,0.89593,0.95562,0.65262,1.08861,0.74202,0.96391,0.000247472,0.000247472,0.000247472
167,65.0461,0.81532,0.82475,0.88702,0.75302,0.95108,0.95826,0.65344,1.08991,0.7308,0.9625,0.000244645,0.000244645,0.000244645
168,65.4051,0.80051,0.78463,0.88555,0.92025,0.77201,0.90521,0.62755,1.07528,0.72105,0.95918,0.000241818,0.000241818,0.000241818
169,65.7339,0.84498,0.91891,0.89295,0.92025,0.77201,0.90521,0.62755,1.07528,0.72105,0.95918,0.00023899,0.00023899,0.00023899
170,66.0781,0.93227,0.83346,0.90113,0.88885,0.77325,0.90206,0.64697,1.04528,0.73141,0.95253,0.000236163,0.000236163,0.000236163
171,66.435,0.83789,0.82061,0.90255,0.85276,0.77174,0.86702,0.62783,1.03528,0.72466,0.95273,0.000233335,0.000233335,0.000233335
172,66.7851,0.89408,0.80554,0.94707,0.84341,0.78199,0.87268,0.63279,1.03219,0.72453,0.95389,0.000230508,0.000230508,0.000230508
173,67.1236,0.80695,0.81042,0.86904,0.84341,0.78199,0.87268,0.63279,1.03219,0.72453,0.95389,0.00022768,0.00022768,0.00022768
174,67.4755,0.85088,0.78544,0.91643,0.93857,0.72175,0.88278,0.64238,1.03609,0.72165,0.9557,0.000224853,0.000224853,0.000224853
175,67.8148,0.83288,0.7831,0.90691,0.91771,0.75154,0.95001,0.66931,1.05868,0.72723,0.96167,0.000222025,0.000222025,0.000222025
176,68.1752,0.8168,0.77671,0.86899,0.89485,0.78502,0.95218,0.66381,1.09379,0.73729,0.97189,0.000219198,0.000219198,0.000219198
177,68.5175,0.82354,0.8619,0.9312,0.89485,0.78502,0.95218,0.66381,1.09379,0.73729,0.97189,0.000216371,0.000216371,0.000216371
178,68.8622,0.7953,0.85962,0.8731,0.94365,0.74623,0.9539,0.66424,1.10775,0.74469,0.97589,0.000213543,0.000213543,0.000213543
179,69.2207,0.77103,0.75742,0.89068,0.73535,0.94361,0.95508,0.68797,1.08787,0.7263,0.96915,0.000210716,0.000210716,0.000210716
180,69.5649,0.73834,0.76182,0.87572,0.79361,0.93198,0.95418,0.6826,1.06472,0.6975,0.96236,0.000207888,0.000207888,0.000207888
181,69.9124,0.75907,0.71254,0.88366,0.79361,0.93198,0.95418,0.6826,1.06472,0.6975,0.96236,0.000205061,0.000205061,0.000205061
